Startup Name,Industry,Funding Stage,Technology Description,W (%),X (%),Y (%),Z (%),Final Label,Explanation,Angel's Advocate,Sequence,Phase
Glean,Environmental/Waste Management,Pre Seed,"Provides efficient waste sorting and recycling solutions—transforming plastic bags into interlocking tiles, organic waste into compost, and cardboard into egg trays.",85%,10%,5%,0%,W,"Glean is in its early stage with a strong focus on defining its core problem and validating its concept, which aligns with Rocket type W’s emphasis on problem–solution fit and foundational development. Its pre‑seed status and early traction confirm its emerging stage. It prioritizes mentorship and early user feedback.","While promising early traction exists, if future market acceptance and revenue figures accelerate, one might consider a shift toward Rocket type X.",Launch,1
SUNBOX,Environment/Energy (Solar),Seed,Offers affordable off‑grid and in‑grid solar systems via innovative halal financing models for low‑income families in the Middle East.,5%,75%,15%,5%,X,"SUNBOX has progressed beyond ideation with a validated MVP, early revenue, and significant customer traction, aligning closely with Rocket type X. Its seed‑stage funding and market validation support a Traction profile. The innovative financing and product deployment further consolidate this classification.","If scaling accelerates further, a shift toward Scaling (Y) might be considered; however, current seed metrics and validation support a Traction (X) classification.",Run,3
Flowless,AI for Water & Utilities,Pre Seed,An AI‑powered platform providing real‑time water and resource management solutions for utilities and farmers to improve operational efficiency.,10%,80%,10%,0%,X,"Flowless demonstrates a clear early product–market fit through its validated MVP, revenue generation, and team expansion—all characteristic of Rocket type X. Despite its pre‑seed funding stage, tangible traction and customer adoption indicate progress beyond a mere concept.","A classification of Emerging (W) might be argued if it were still in pilot without revenue, but its current revenue and team growth favor the Traction (X) category.",Run,3
Qara'a,Education/AI for Quranic Literacy,Bootstrapped (No Investment),"An AI‑driven app offering personalized Quranic learning with automated pronunciation, gamified exercises, and community support for improved literacy.",0%,10%,80%,10%,Y,"Qara'a has achieved significant product–market fit, evidenced by a massive user base (1.8 million) and high engagement—key markers for Rocket type Y. It is transitioning into scaling operations with plans for geographic expansion and feature enhancements.","If its impressive user numbers and potential market dominance mature further, a Density (Z) classification might be considered; however, current focus on scaling supports a Scaling (Y) profile.",Run,4
Pandai,Education/EdTech,Seed,"An education app delivering personalized learning, interactive classes, and integrated AI tools (PandaiAI) aligned with national curricula to boost academic performance.",0%,10%,80%,10%,Y,"Pandai shows robust product–market fit with an impressive user base and strong revenue, placing it in the Scaling (Y) category. Its integrated AI tools and comprehensive content underscore readiness to scale operations despite being at the seed stage.","Some might argue for a Density (Z) classification with a vast user base, but current seed funding and operational model indicate Scaling (Y).",Run,4
Durioo,Media & Entertainment (Islamic Content),(Inferred Seed),"A streaming and gaming platform delivering safe, ethical, and Islamic value–driven content for Muslim children through original productions and interactive experiences.",0%,15%,80%,5%,Y,"Durioo has built a proven product with 34,000 paying subscribers and an established market presence, which aligns with Rocket type Y. Its operational traction and clear plan for content expansion signal readiness for scaling.","If the primary focus were still on refining the initial product rather than expanding market reach, a Traction (X) label might be considered; however, current growth and strategy point to Scaling (Y).",Run,3
ConeLabs,AI/ML for Infrastructure Inspection,Pre Seed,An AI‑powered solution that automates defect detection on infrastructures using 3D imaging and advanced analytics to enhance safety and efficiency.,10%,80%,10%,0%,X,"ConeLabs shows early market validation with its innovative AI inspection tool, initial revenue, and growing customer adoption among major inspection firms, aligning it with Rocket type X. Its pre‑seed status and focused market entry confirm this classification.","With broader market penetration and additional funding, a shift to Scaling (Y) could be justified; however, current metrics support a Traction (X) classification.",Run,3
Medily AI,Healthcare/AI,Beta (No Investment),"A specialized AI platform offering rapid, accurate diagnostic and patient management solutions that adhere to NHS, BNF, and NICE standards.",0%,80%,15%,5%,X,"Medily AI exhibits strong early traction in the healthcare sector, with its beta-stage product, active use cases, and regulatory compliance marking a clear Traction (X) profile. Its real‑world performance and media validation confirm its readiness for further growth.","A rapid market expansion and secured formal funding might later justify a Scaling (Y) classification; for now, the beta status and early traction justify a Traction (X) label.",Run,3
SCOOTY,Travel & Hospitality (Urban Mobility),Seed,"A micromobility platform integrating with Ontario’s PRESTO payment system to offer seamless urban transportation by combining scooters, bikes, and public transit.",0%,80%,15%,5%,X,"SCOOTY is in the early stages of market penetration with a validated business model leveraging strategic partnerships like PRESTO integration, which positions it as a Traction (X) startup. Its seed-stage funding and promising revenue forecasts support this classification.","With accelerated market expansion and deeper integration, it might evolve into a Scaling (Y) startup; however, current seed status and early traction favor a Traction (X) label.",Run,3
Resole CIC,Sustainability/Footwear Recycling,In Development,"Reduces the environmental impact of footwear production through recycling, reusing, and redistributing shoes while educating on sustainable practices.",80%,10%,5%,5%,W,Resole CIC is in its early stage and focused on building a foundational model to reduce footwear waste. Its emphasis on concept development and community engagement aligns with an Emerging (W) profile. Initial efforts are underway with plans for further validation.,"Although early partnerships exist, if stronger market traction emerges, a shift to Traction (X) could be argued; currently, its developmental stage fits Emerging (W) best.",Launch,1
