Startup Name,Industry,Funding Stage,Technology Description,Country,W (%),X (%),Y (%),Z (%),Final Label,Explanation,Angel's Advocate,Sequence,Phase
Glean,Other,Pre Seed,Recycling & waste management using innovative recycling (e.g. converting plastic bags into interlock tiles),Palestine,85%,10%,5%,0%,W,"“Glean secured pre‑seed funding (≈$50K) and has a founding team size consistent with the Rocket W criteria (1–5 members). Its target market in Gaza (≈2 million residents) and early community impact (job creation, recycling prototypes) align with Rocket W’s emerging stage. The detailed traction—such as UNIDO recognition—reinforces its fit within Rocket W.”","“If Glean rebuilds post‑crisis and scales operations with additional funding nearing $500K, it could begin to edge into Rocket X’s territory.”",Launch,1
SUNBOX,Environment,Seed,Off‑grid and in‑grid solar systems for low‑income families via halal financing models,SaudiArabia,20%,60%,20%,0%,X,“SUNBOX’s seed‑stage funding (≈$450K raised) and its operating model for solar systems fit within Rocket X’s $500K–$3M range and team size benchmarks. Its impact on over 80K people and targeting markets with over 15M people lacking electricity further validates the Rocket X classification. The business model—with hybrid for‑profit/non‑profit elements—supports an early traction profile typical for Rocket X.”,"“Should SUNBOX secure a larger round and expand its team or technology offerings, its metrics might evolve toward Rocket Y’s scaling phase.”",Run,3
Flowless,AI & Water Management,Pre Seed,A SaaS platform for water network management using AI and real‑time monitoring (e.g. “Octopo” for leak detection),Palestine,70%,20%,10%,0%,W,“Flowless is operating on pre‑seed funds with early traction such as $250K in revenue and team growth from 4 to 12 members—ideal for Rocket W. Its focus on smart water management (a $15.6B market) fits the emerging profile. The solution’s adaptability and platform-based approach support a Rocket W categorization at this stage.”,"“If Flowless secures additional capital to expand internationally and refines its SaaS scalability, an argument for shifting to Rocket X could be made.”",Launch,1
Qara'a,Education/AI,No Investment,"AI‑powered Quranic literacy app with interactive, personalized learning and automated pronunciation feedback",Indonesia,10%,20%,70%,0%,Y,"“Qara'a has achieved impressive traction with 1.8 million users and 700K MAU, clearly exceeding early-stage thresholds. Its large target market (over 135 million young Muslims) and advanced AI features position it in the scaling phase that fits Rocket Y. The strong user base and advanced tech differentiation justify a final label of Rocket Y.”","“An Angel’s Advocate might contend that if Qara'a were to secure seed funding to further refine its monetization model, it could be re‑classified as Rocket X for an interim phase before full scaling.”",Run,4
Pandai,Education,Seed,"A personalized learning platform with AI‑powered content, gamification, and interactive classes",Malaysia,20%,70%,10%,0%,X,"“Pandai’s seed funding round (≈$2M) and strong traction (800K users, 150K active) meet the criteria for Rocket X. Its comprehensive educational content and O2O model are indicative of early product‑market fit. These metrics, combined with multiple industry awards, strongly support a final label of Rocket X.”","“With further scaling and integration of its PandaiAI tools, Pandai could potentially progress toward Rocket Y’s phase of scaling.”",Run,3
Durioo,Media & Entertainment,Seed,"OTT platform and gaming solution for Muslim children offering content, games, and additional value‑added services",Malaysia,40%,20%,20%,20%,W,"“Durioo is at the seed stage with a focused offering (34,000 paying subscribers, 98% local) that fits an emerging profile. Its multi‑vertical approach (streaming, games, merchandising) suggests initial traction but remains in early stages. The balanced match across metrics supports a primary classification as Rocket W.”","“If Durioo’s subscriber base and revenue scale significantly, it might later qualify for a shift toward Rocket X or even Y; however, current numbers favor Rocket W.”",Launch,2
ConeLabs,AI & Inspection,Pre Seed,An AI‑powered inspection tool reconstructing 3D models from imagery to identify defects in infrastructure,Canada,70%,15%,10%,5%,W,"“ConeLabs is operating with pre‑seed capital and early customer traction (notable recurring revenue, forecasted $400K in 2025). Its end‑to‑end in‑house technology and IP protection align with Rocket W’s early innovation benchmarks. The product’s focus on safety and efficiency in infrastructure inspection reinforces its placement in Rocket W.”","“With expanded channel partnerships and additional funding for international expansion, ConeLabs could transition toward Rocket X as its operational scale increases.”",Launch,1
Medily AI,Healthcare & AI,"Beta, No Investment","An AI‑powered telehealth platform offering rapid diagnostics, administrative automation, and regulatory‑compliant solutions",UnitedKingdom,5%,15%,70%,10%,Y,"“Medily AI, already deployed and generating real‑world use cases (3000+ cases in its first week, revenue data available), demonstrates scaling beyond an idea. Its adherence to strict regulatory standards and specialized AI accuracy (89% on UKMLA) align with Rocket Y’s criteria. These robust performance metrics justify a Rocket Y classification.”","“If Medily AI further strengthens its monetization and secures seed funding, a temporary re‑classification as Rocket X might be argued until scaling solidifies.”",Run,4
SCOOTY,Travel & Mobility,Seed,"A micromobility platform integrating with Ontario’s PRESTO payment system to offer seamless, eco‑friendly urban transportation",Canada,20%,60%,20%,0%,X,"“SCOOTY’s seed‑stage status, combined with its successful grant acquisition ($1M CAD) and integration with a major payment system, fits Rocket X’s metrics. Its market size (3M+ PRESTO card users) and early revenue targets further support this classification. The overall business model and traction justify a final label of Rocket X.”","“With rapid geographic expansion and deeper market penetration, SCOOTY could eventually be re‑evaluated as a Rocket Y startup.”",Run,3
KanSuda,Media & Entertainment,Unsuccessful,A creative media agency aimed at amplifying voices of Black Muslim women via visual storytelling and digital content production,UnitedStates,40%,20%,20%,20%,W,"“KanSuda is currently marked as ‘Unsuccessful’ with no investment yet and remains in an ideation stage. Its mission to address a large global market (≈555M potential audience) is promising, but early traction is limited. The early‑stage idea characteristics align it with Rocket W’s criteria despite its ambitious vision.”","“If KanSuda manages to secure initial funding and generate user engagement, its profile might shift toward Rocket X; however, given current status, Rocket W is most appropriate.”",Launch,1
Practical Diversity Assoc.,Education/DEI,Unsuccessful,"A platform offering asset‑based diversity, equity & inclusion education through virtual training and certifications",UnitedStates,50%,20%,20%,10%,W,"“Practical Diversity Associates is in the ideation phase with no external investment and limited traction, fitting the early‑stage Rocket W profile. Its focus on accessible virtual DEI education for multiple institutions aligns with small‑team, low‑funding criteria. The overall metrics support a final label of Rocket W.”","“With enhanced marketing and potential pilot programs, there is scope to shift toward Rocket X if initial traction improves.”",Launch,1
Fitness Haven,Healthcare & Wellness,Unsuccessful,A female‑only fitness and wellness solution with integrated educational blog and specialized facilities for Muslim women,UnitedKingdom,40%,20%,20%,20%,W,“Fitness Haven’s concept remains at the ideation stage with no external investment and is targeting a niche market in the UK. Its focus on addressing unique barriers for Muslim women in fitness meets early‑stage criteria. The balanced score across metrics supports a classification as Rocket W.”,"“If Fitness Haven secures funding and validates its model with a flagship gym, its metrics might evolve to support a move toward Rocket X.”",Launch,1
MedicallyAfrica,Healthcare & Life Sciences,Unsuccessful,A Takaful‑based health insurance scheme aiming to increase insurance coverage among low‑middle income Nigerians,Nigeria,30%,30%,20%,20%,X,"“MedicallyAfrica targets a vast but underpenetrated market in Nigeria with only 5% current insurance coverage. Its innovative Takaful model and lean approach fit early‑stage scaling but remain unproven. The balanced percentages, with a tilt toward Rocket X, reflect its potential if initial customer acquisition succeeds.”",“Enhanced regulatory partnerships and customer acquisition strategies might reposition it toward Rocket Y if market adoption accelerates.”,Launch,1
Zoopeddigi tech,Technology Services,Unsuccessful,"Provides integrated marketing and IT solutions (including PR, adtech, and custom software development) for diverse clients",India,50%,20%,20%,10%,W,“Zoopeddigi tech is still in the development phase with no external funding and focuses on low‑cost services for business growth. Its potential for scaling through technology platforms aligns with early‑stage (Rocket W) characteristics. The company’s focus on ethical and halal business practices supports this emerging profile.”,"“If Zoopeddigi tech secures initial capital and wins pilot contracts, a transition toward Rocket X metrics might be considered.”",Launch,1
LeadPrompt,Technology,Unsuccessful,"Offers lead retention strategies, marketing analytics, and consultation for small businesses and tradespeople",Canada,20%,50%,20%,10%,X,"“LeadPrompt, despite being in the idea phase with no external investment, targets a large North American market (over 1M potential clients). Its specialized consulting model and digital toolset for lead retention fit well within Rocket X’s criteria. The relatively high weighting toward Rocket X metrics justifies a final label of Rocket X.”","“If LeadPrompt secures seed capital and demonstrates customer conversion, its growth metrics might later reclassify it toward Rocket Y.”",Launch,1
Datterra,Agriculture,Ready to launch,"Provides ethical, halal‑compliant agricultural and date production solutions, with secured land and cold storage infrastructure",UnitedArabEmirates,10%,20%,30%,40%,Z,"“Datterra is ready to launch with secured land, cold storage, and active negotiations with international buyers. Its focus on a high‑value agricultural market and potential for international distribution aligns with Rocket Z’s criteria for strategic opportunity. The weighted percentages favor Rocket Z due to its mature operational setup and revenue potential.”","“If Datterra faces initial market hurdles or delays in scaling, a case could be made to temporarily re‑assess its profile as Rocket Y until further traction is demonstrated.”",Run,3
HalCart,Consumer Goods,Unsuccessful,"A comprehensive, community‑driven platform for accessing verified halal products through both online and offline channels",Nigeria,50%,20%,20%,10%,W,"“HalCart is an ideation‑stage venture with no external funding, focused on bridging the gap in the fragmented halal products market in Nigeria. Its broad market vision (targeting 1.9B Muslims globally) is promising but remains untested. The early‑stage, low‑investment profile aligns it with Rocket W.”","“If HalCart successfully develops partnerships with halal certification bodies and scales its logistics, it could eventually be viewed as moving into Rocket X.”",Launch,1
EkkBaz AI,Technology & Procurement,"Unsuccessful, Pre Seed",Developing a multi‑agent AI system to automate procurement and track carbon footprints for businesses,Singapore,10%,20%,60%,10%,Y,"“EkkBaz AI is at the pre‑seed stage with a clear focus on leveraging LLMs to create AI agents for procurement, and has already achieved recognition (3rd in a Stanford pitching competition). Its technological depth and market potential in North America support a strong Rocket Y match. The percentages reflect a dominant alignment with scaling (Rocket Y) despite early-stage funding.”",“Additional strategic partnerships and initial customer contracts could help solidify its position and potentially lower the risk profile toward Rocket X during early scaling.”,Run,4
